BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Warmte_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_H22_AantalNieuweMSR;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_groengas;Woning_A03_Aansl_waterstof;Woning_A04_Aansl_Gasketel;Woning_A05_Aansl_eWP_lucht;Woning_A05_Aansl_eWP_bodem;Woning_A06_Aansl_Rest70_collGGheater;Woning_A07_Aansl_Geo70_collGGheater;Woning_A08_Aansl_Rest30_eWPlucht;Woning_A09_Aansl_Rest30_colleWP70;Woning_A10_Aansl_WKO15_colleWP70;Woning_A11_Aansl_WKO15_colleWP50_beWP;Woning_A12_Aansl_WKO15_TEO15_colleWP70;Woning_A13_Aansl_hWP;Woning_A14_Aansl_h2WP;Woning_A15_Aansl_h2R;Woning_A16_Aansl_naarA;Woning_A17_Aansl_naarB;Woning_A18_Aansl_naarC;Woning_A19_Aansl_naarD;Woning_G01_Aansl_LT15_50;Woning_G02_Aansl_LT15_70;Woning_G03_Aansl_LT30_30;Woning_G04_Aansl_LT30_70;Woning_G05_Aansl_TEO;Woning_G06_Aansl_WKO;Woning_G07_Aansl_WijkWKK;Woning_G08_Aansl_BioWKK;Woning_G09_Aansl_BuurtWKO;Woning_G10_Aansl_Restwarmte;Woning_G11_Aansl_Geothermie;Woning_G12_Aansl_WaterstofHR;Woning_G13_Aansl_WaterstofWP;Woning_L01_Aansl_LabelAppp;Woning_L02_Aansl_LabelA;Woning_L03_Aansl_LabelB;Woning_L04_Aansl_LabelC;Woning_L05_Aansl_LabelD;Woning_L06_Aansl_LabelE;Woning_L07_Aansl_LabelF;Util_H01_Vraag_Warmte_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_H22_AantalNieuweMSR;Util_A01_Aansl_aardgas;Util_A02_Aansl_groengas;Util_A03_Aansl_waterstof;Util_A04_Aansl_gasketel;Util_A05_Aansl_eWP_lucht;Util_A05_Aansl_eWP_bodem;Util_A06_Aansl_Rest70_collGGheater;Util_A07_Aansl_Geo70_collGGheater;Util_A08_Aansl_Rest30_eWPlucht;Util_A09_Aansl_Rest30_colleWP70;Util_A10_Aansl_WKO15_colleWP70;Util_A11_Aansl_WKO15_colleWP50_beWP;Util_A12_Aansl_WKO15_TEO15_colleWP70;Util_A13_Aansl_hWP;Util_A14_Aansl_h2WP;Util_A15_Aansl_h2R;Util_A17_Aansl_naarB;Util_A18_Aansl_naarC;Util_A19_Aansl_naarD;Util_G01_Aansl_LT15_50;Util_G02_Aansl_LT15_70;Util_G03_Aansl_LT30_30;Util_G04_Aansl_LT30_70;Util_G05_Aansl_TEO;Util_G06_Aansl_WKO;Util_G07_Aansl_WijkWKK;Util_G08_Aansl_BioWKK;Util_G09_Aansl_BuurtWKO;Util_G10_Aansl_Restwarmte;Util_G11_Aansl_Geothermie;Util_G12_Aansl_WaterstofHR;Util_G13_Aansl_WaterstofWP;Util_L01_Aansl_LabelAppp;Util_L02_Aansl_LabelA;Util_L03_Aansl_LabelB;Util_L04_Aansl_LabelC;Util_L05_Aansl_LabelD;Util_L06_Aansl_LabelE;Util_L07_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;H23_Capaciteit_huidig;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2062;253;4184;171223;275743.55;False;32187.4953;24339.0953;7848.4;1.19805213;0;20570.6428;223;52759.3361;0;0;31274.8817;44932.5491;49561.1973;-73009.292;0;7217;20.5755079;0;0;0;1712;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2058;2;2;0;0;0;0;47008.9748;45589.4938;1419.48102;0;30740.1639;112385.593;326;190134.732;0;808.952595;136740.889;44932.5491;49561.1973;-41908.8556;0;15486.9975;20.5755079;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;229;0;0;0;0;0;9881947;2817;2362;6618.4275;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;280;53;806;23174;68254.65;False;4374.79729;3302.09729;1072.7;0;0;2793.25734;108;7168.05463;0;0;4270.21064;1167.56066;0;1730.28333;0;980;4.67766984;0;0;0;0;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;2;0;0;0;0;0;16692.2685;16232.5088;459.7597;0;8507.0513;27004.5757;411;52203.8955;0;709.124201;33881.2352;1167.56066;0;16445.9754;0;4184.631;4.67766984;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;48;0;0;0;0;0;2275549;1680;2823;1793.199;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;81;1072;688;138311.75;False;204.929344;145.329344;59.6;4.25807686;0;72.58;4;281.767421;0;1773.48407;14445.796;24317.3445;0;-40254.8572;0;28;5.83672063;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;28024.7167;27337.6343;687.082469;0;16788.0784;60212.53;606;105025.325;0;1773.48407;65891.7078;24317.3445;0;13042.7887;0;6406.9845;5.83672063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;80;0;0;0;0;0;3712827;1690;3463;2756.3505;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;3308;445;8282;254607;646544;False;50873.7388;36474.8888;14398.85;0;0;31955.6137;595;82829.3526;0;32112.5269;188113.532;174595.818;59629.0416;-371621.565;0;11578;48.8363206;0;0;0;2763;545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2703;545;60;0;0;0;0;158397.408;152856.839;5540.56948;0;82895.076;244254.032;1854;485546.517;0;32112.5269;296358.977;174595.818;59629.0416;-77149.8464;0;42264.0435;48.8363206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;441;0;0;0;0;0;19895894;1493;2402;19014.6615;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;65;1816;131503;71606;False;23822.4244;14083.2744;9739.15;0;0;10554.5;790;34376.9244;0;396.557776;22140.857;3118.51169;0;8720.99789;0;4427.5;7.83066667;0;0;0;0;1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1166;99;0;0;0;0;9282.8888;8582.15552;700.733286;0;7839.07071;23844.9854;308;40966.9449;0;735.355011;30555.7415;3118.51169;0;6557.33669;0;4210.31;7.83066667;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;60;0;0;0;0;0;2891634;1265;1592;9850;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;22433.5477;14227.9477;8205.6;488.94336;0;8916.31;1881;31838.8011;0;0;17366.3283;4579.5772;4800.51765;5092.37792;0;3759;4.06680317;0;0;0;998;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;941;18;39;0;0;3330.50829;2942.53583;387.972462;0;2561.77223;1173.313;279;7065.59352;0;0;3347.18903;4579.5772;4800.51765;-5661.69036;0;724.6505;4.06680317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2179462;998;1882;1921.5645;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;40;168;0;21767;False;0;0;0;0;0;0;0;0;0;0;110.280259;467.268674;0;-577.548932;0;0;1.28606667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3678.67148;3272.8121;405.859377;0;3696.04654;6278.016;156;13652.734;0;0;8323.54543;467.268674;0;4861.91991;0;1417.8885;1.28606667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;0;0;0;0;0;653037;924;3887;1050;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;991;13;1192;82476;26122.8;False;15523.8322;11730.9322;3792.9;1.49854165;0;9886.73533;246;25412.0661;0;7526.42056;10939.75;9529.53245;7328.80824;-9912.44517;0;2508.5;2.63050476;0;480;0;990;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;986;1;4;0;0;0;0;2735.85888;2581.05346;154.805412;0;3110.40449;10964.5197;43;16810.7831;0;1769.07772;12391.4826;9529.53245;7328.80824;-14208.118;0;1116.1315;2.63050476;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;8;0;0;0;0;0;1839341;7653;1543;1050;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;5313.1971;3953.8471;1359.35;15.4674686;0;1917.51;102;7246.17457;0;0;4575.42926;8326.3863;8602.96954;-14258.6105;0;791;4.03600635;0;0;0;211;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;49;154;7;0;0;11993.4817;11385.2513;608.230342;0;8538.10394;20597.822;230;41129.4076;0;0;26376.6096;8326.3863;8602.96954;-2176.55788;0;3658.697;4.03600635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;1894742;1243;2915;1907.013;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4431;103;6553;367984;275782;False;69157.0858;52258.9858;16898.1;7.1002368;0;44209.498;1015;113373.684;0;0;58101.5619;73893.3234;84047.9678;-102669.169;0;15508.5;25.1918317;0;0;0;4428;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4417;3;11;0;0;0;0;49586.4912;47789.9497;1796.5415;0;31694.2617;106891.273;728;188172.026;0;2750.79005;135622.499;73893.3234;84047.9678;-108142.555;0;12277.4945;25.1918317;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;91;0;0;0;0;0;13241281;2234;2021;5271.6405;236
