BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Warmte_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_H22_AantalNieuweMSR;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_groengas;Woning_A03_Aansl_waterstof;Woning_A04_Aansl_HR;Woning_A05_Aansl_eWP_lucht;Woning_A05_Aansl_eWP_bodem;Woning_A06_Aansl_Rest70_collGGheater;Woning_A07_Aansl_Geo70_collGGheater;Woning_A08_Aansl_Rest30_eWPlucht;Woning_A09_Aansl_Rest30_colleWP70;Woning_A10_Aansl_WKO15_colleWP70;Woning_A11_Aansl_WKO15_colleWP50_beWP;Woning_A12_Aansl_WKO15_TEO15_colleWP70;Woning_A13_Aansl_hWP;Woning_A14_Aansl_h2WP;Woning_A15_Aansl_h2R;Woning_G01_Aansl_LT15_50;Woning_G02_Aansl_LT15_70;Woning_G03_Aansl_LT30_30;Woning_G04_Aansl_LT30_70;Woning_G05_Aansl_TEO;Woning_G06_Aansl_WKO;Woning_G07_Aansl_WijkWKK;Woning_G08_Aansl_BioWKK;Woning_G09_Aansl_BuurtWKO;Woning_G10_Aansl_Restwarmte;Woning_G11_Aansl_Geothermie;Woning_G12_Aansl_WaterstofHR;Woning_G13_Aansl_WaterstofWP;Woning_L01_Aansl_LabelAppp;Woning_L02_Aansl_LabelA;Woning_L03_Aansl_LabelB;Woning_L04_Aansl_LabelC;Woning_L05_Aansl_LabelD;Woning_L06_Aansl_LabelE;Woning_L07_Aansl_LabelF;Util_H01_Vraag_Warmte_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_H22_AantalNieuweMSR;Util_A01_Aansl_aardgas;Util_A02_Aansl_groengas;Util_A03_Aansl_waterstof;Util_A04_Aansl_HR;Util_A05_Aansl_eWP_lucht;Util_A05_Aansl_eWP_bodem;Util_A06_Aansl_Rest70_collGGheater;Util_A07_Aansl_Geo70_collGGheater;Util_A08_Aansl_Rest30_eWPlucht;Util_A09_Aansl_Rest30_colleWP70;Util_A10_Aansl_WKO15_colleWP70;Util_A11_Aansl_WKO15_colleWP50_beWP;Util_A12_Aansl_WKO15_TEO15_colleWP70;Util_A13_Aansl_hWP;Util_A14_Aansl_h2WP;Util_A15_Aansl_h2R;Util_G01_Aansl_LT15_50;Util_G02_Aansl_LT15_70;Util_G03_Aansl_LT30_30;Util_G04_Aansl_LT30_70;Util_G05_Aansl_TEO;Util_G06_Aansl_WKO;Util_G07_Aansl_WijkWKK;Util_G08_Aansl_BioWKK;Util_G09_Aansl_BuurtWKO;Util_G10_Aansl_Restwarmte;Util_G11_Aansl_Geothermie;Util_G12_Aansl_WaterstofHR;Util_G13_Aansl_WaterstofWP;Util_L01_Aansl_LabelAppp;Util_L02_Aansl_LabelA;Util_L03_Aansl_LabelB;Util_L04_Aansl_LabelC;Util_L05_Aansl_LabelD;Util_L06_Aansl_LabelE;Util_L07_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;H23_Capaciteit_huidig;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;7026;277;9945;583235;379377.35;False;107430.185;80718.5852;26711.6;0;0;70101.6731;745;177531.858;57356.7343;57356.7343;72108.6579;0;0;-9290.26831;0;13959;20.5812984;2658;2658;0;5316;0;0;0;0;1710;0;0;0;0;0;0;0;0;0;1710;0;0;0;0;0;0;0;0;0;0;7022;2;0;0;0;0;0;59565.7702;57500.9362;2064.834;0;44745.7563;154465.178;413;258776.705;29078.5933;29078.5933;168455.473;0;0;32164.0456;0;9448.6455;20.5812984;110;110;0;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;48;0;229;0;0;0;0;4979;14292370;-9722;14292370;6618.4275;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4069;61;5166;337661;142572.85;False;62132.9154;46662.0154;15470.9;0;0;40600.0812;1529;102732.997;33177.3418;33177.3418;41762.2666;0;0;-5383.95357;0;6103.5;8.37699365;2034.5;2034.5;0;4069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4067;2;0;0;0;0;0;26041.7279;25158.7617;882.966216;0;17771.2912;57093.5863;641;100906.605;12708.7295;12708.7295;62659.1615;0;0;12829.9848;0;1951.705;8.37699365;28;28;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;13;0;48;0;0;0;0;2627;6683575;-5252;6683575;1793.199;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;85;1408;688;181936.55;False;275.197042;215.597042;59.6;0;0;72.58;6;347.777042;415.204391;415.204391;10240.8545;2235.33403;0;-12958.8202;0;12;5.83672063;4;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;33010.3551;32084.9099;925.445152;0;23477.5293;78825.778;714;135313.662;12835.1962;12835.1962;77404.7805;2235.33403;0;30003.1555;0;5403.7425;5.83672063;15;15;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;5;0;80;0;0;0;0;974;4231840;3459;4231840;2756.3505;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5645;447;10656;448578;651391.2;False;85593.6111;62314.1611;23279.45;0;0;55274.3119;1002;140867.923;29036.9907;29036.9907;179452.814;64690.6788;0;-161349.551;0;13993.5;46.9156857;1441;1441;0;2882;0;0;0;0;2763;0;0;0;0;0;0;0;0;0;2763;0;0;0;0;0;0;0;0;0;0;5040;545;60;0;0;0;0;155203.484;149595.355;5608.12937;0;87752.1337;245136.223;1817;488091.84;42100.7499;42100.7499;274668.426;64690.6788;0;64531.236;0;29430.4155;46.9156857;138.5;138.5;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;6;0;441;0;0;0;0;7089;17419896;2793;17419896;19014.6615;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;66;1819;131503;71942.15;False;23884.6288;14145.4788;9739.15;0;0;10554.5;792;34439.1288;12178.7227;12178.7227;14501.1082;4804.9276;0;-9224.35239;0;1897.5;3.81796825;632.5;632.5;0;1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1265;0;0;0;0;0;9132.8757;8424.22371;708.651987;0;8300.07533;23918.9384;303;41351.8894;4510.20748;4510.20748;27690.2147;4804.9276;0;-163.667845;0;2139.922;3.81796825;31;31;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;60;0;0;0;0;1040;2419230;1940;2419230;9850;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;27166.2081;18960.6081;8205.6;93.4625786;0;8916.31;2278;36175.9807;14814.0103;14814.0103;9282.90642;0;0;-2734.94635;0;1801;3.49854921;489.5;489.5;0;979;0;0;0;0;95;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;76;103;144;218;153;87;3254.86572;2866.89326;387.972462;0;2711.44645;1173.313;273;7139.62516;1647.73939;1647.73939;2006.39898;0;0;1837.74741;0;630.9045;3.49854921;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;931;1843720;1473;1843720;1921.5645;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;41;176;0;22763;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.28606667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3777.00586;3333.01941;443.986457;0;4195.39442;6322.836;160;14295.2363;1910.7371;1910.7371;7627.94336;0;0;2845.81871;0;661.5545;1.28606667;19;19;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;39;0;0;0;0;119;578827;984;578827;1050;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1951;19;2307;162156;46204.65;False;29918.5595;22477.6595;7440.9;0;0;19465.6614;474;49384.2209;14019.05;14019.05;18111.3784;4447.46439;0;-1212.72199;0;3938.5;4.04198095;722.5;722.5;0;1445;0;0;0;0;506;0;0;0;0;0;0;0;0;0;506;0;0;0;0;0;0;0;0;0;0;1946;1;0;0;2;0;0;5449.55674;5145.55957;303.997166;0;5601.95285;18512.9589;86;29564.4684;2856.35482;2856.35482;18275.8568;4447.46439;0;1128.4376;0;577.3615;4.04198095;7;7;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;11;0;8;0;0;0;0;1064;2631398;-3195;2631398;1050;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;5534.39274;4175.04274;1359.35;1.54095503;0;1917.51;106;7453.44369;2951.22514;2951.22514;1984.28284;0;0;-433.289424;0;705;3.96299048;21.5;21.5;0;43;0;0;0;0;183;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;0;0;0;0;0;0;6;17;163;5;4;1;11700.4307;11092.2004;608.230342;0;9035.49878;20597.822;224;41333.7515;5755.17083;5755.17083;23428.5726;0;0;6394.83721;0;2098.987;3.96299048;4.5;4.5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;513;1641963;1624;1641963;1907.013;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8249;115;10980;684878;354964;False;126199.56;94793.0597;31406.5;0;0;82305.6853;1852;208505.245;67383.6558;67383.6558;84663.3673;0;0;-10925.434;0;21207.5;25.1791333;1916;1916;0;3832;0;0;0;0;4417;0;0;0;0;0;0;0;0;0;4417;0;0;0;0;0;0;0;0;0;0;8235;3;0;1;2;0;0;58874.5883;56578.3035;2296.28487;0;42903.073;138738.273;864;240515.935;28795.7497;28795.7497;152241.958;0;0;30682.4774;0;6067.3845;25.1791333;47.5;47.5;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;24;0;91;0;0;0;0;5522;15503826;38201;15503826;5271.6405;236
